team,status
Los Angeles Clippers,77.2
Los Angeles Lakers,76.6
Dallas Mavericks,76.3
Milwaukee Bucks,76.2
Philadelphia 76ers,76.2
Brooklyn Nets,75.9
Portland Trail Blazers,75.8
Indiana Pacers,75.7
Denver Nuggets,75.6
Golden State Warriors,75.5
Phoenix Suns,75.4
Boston Celtics,75.3
Toronto Raptors,75.3
Sacramento Kings,75.2
San Antonio Spurs,75.2
Houston Rockets,75.0
New Orleans Pelicans,75.0
Miami Heat,74.9
Atlanta Hawks,74.8
Washington Wizards,74.7
Chicago Bulls,74.6
Minnesota Timberwolves,74.6
Orlando Magic,74.4
Utah Jazz,74.4
Oklahoma City Thunder,74.1
Memphis Grizzlies,73.9
Cleveland Cavaliers,73.4
New York Knicks,73.3
Charlotte Hornets,73.2
Detroit Pistons,73.1
